text,punct,symb,tokenized,nonstop,stemmed,polarity,subjectivity,sentiment,neg,neu,pos,compound
hanieh tarkian maintains that iran's military advances have changed the global order for ever.… https://t.co/upwypb6a04,hanieh tarkian maintains that irans military advances have changed the global order for ever… httpstcoupwypb6a4,hanieh tarkian maintains that iran's military advances have changed the global order for ever.… https://t.co/upwypb6a04,"['hanieh', 'tarkian', 'maintains', 'that', 'irans', 'military', 'advances', 'have', 'changed', 'the', 'global', 'order', 'for', 'ever', 'httpstcoupwypb6a4']","['hanieh', 'tarkian', 'maintains', 'irans', 'military', 'advances', 'changed', 'global', 'order', 'ever', 'httpstcoupwypb6a4']","['hanieh', 'tarkian', 'maintain', 'iran', 'militari', 'advanc', 'chang', 'global', 'order', 'ever', 'httpstcoupwypb6a4']",-0.05,0.05,neutral,0.0,1.0,0.0,0.0
" the ukrainian military destroyed a russian military forward command post in the donetsk region on may 27 - official.

#ru…"," the ukrainian military destroyed a russian military forward command post in the donetsk region on may 27  official

ru…"," the ukrainian military destroyed a russian military forward command post in the donetsk region on may 27   official.

#ru…","['', 'the', 'ukrainian', 'military', 'destroyed', 'a', 'russian', 'military', 'forward', 'command', 'post', 'in', 'the', 'donetsk', 'region', 'on', 'may', '27', 'official', 'ru', '']","['', 'ukrainian', 'military', 'destroyed', 'russian', 'military', 'forward', 'command', 'post', 'donetsk', 'region', 'may', '27', 'official', 'ru', '']","['', 'ukrainian', 'militari', 'destroy', 'russian', 'militari', 'forward', 'command', 'post', 'donetsk', 'region', 'may', '27', 'offici', 'ru', '']",-0.06666666666666667,0.06666666666666667,,,,,
"russian snipers from the 15th guards motorized rifle brigade. https://t.co/2jccm4celz

#ukrainewar #ww3… https://t.co/bcrgystm9d","russian snipers from the 15th guards motorized rifle brigade httpstco2jccm4celz

ukrainewar ww3… httpstcobcrgystmd","russian snipers from the 15th guards motorized rifle brigade. https://t.co/2jccm4celz

#ukrainewar #ww3… https://t.co/bcrgystm9d","['russian', 'snipers', 'from', 'the', '15th', 'guards', 'motorized', 'rifle', 'brigade', 'httpstco2jccm4celz', 'ukrainewar', 'ww3', 'httpstcobcrgystmd']","['russian', 'snipers', '15th', 'guards', 'motorized', 'rifle', 'brigade', 'httpstco2jccm4celz', 'ukrainewar', 'ww3', 'httpstcobcrgystmd']","['russian', 'sniper', '15th', 'guard', 'motor', 'rifl', 'brigad', 'httpstco2jccm4celz', 'ukrainewar', 'ww3', 'httpstcobcrgystmd']",0.0,0.0,,,,,
raf analysis to the military biological activities of the united states on the territory of ukraine… https://t.co/9cmjhcudzj,raf analysis to the military biological activities of the united states on the territory of ukraine… httpstcocmjhcudzj,raf analysis to the military biological activities of the united states on the territory of ukraine… https://t.co/9cmjhcudzj,"['raf', 'analysis', 'to', 'the', 'military', 'biological', 'activities', 'of', 'the', 'united', 'states', 'on', 'the', 'territory', 'of', 'ukraine', 'httpstcocmjhcudzj']","['raf', 'analysis', 'military', 'biological', 'activities', 'united', 'states', 'territory', 'ukraine', 'httpstcocmjhcudzj']","['raf', 'analysi', 'militari', 'biolog', 'activ', 'unit', 'state', 'territori', 'ukrain', 'httpstcocmjhcudzj']",-0.1,0.1,,,,,
" @ischinger @l_bednarz yes, it’s very dangerous. germany is being blamed already - like never before. the cracks on ger…", ischinger lbednarz yes it’s very dangerous germany is being blamed already  like never before the cracks on ger…,  ischinger  l_bednarz yes  it’s very dangerous. germany is being blamed already   like never before. the cracks on ger…,"['', 'ischinger', 'lbednarz', 'yes', 'it', 's', 'very', 'dangerous', 'germany', 'is', 'being', 'blamed', 'already', 'like', 'never', 'before', 'the', 'cracks', 'on', 'ger', '']","['', 'ischinger', 'lbednarz', 'yes', 'dangerous', 'germany', 'blamed', 'already', 'like', 'never', 'cracks', 'ger', '']","['', 'isching', 'lbednarz', 'ye', 'danger', 'germani', 'blame', 'alreadi', 'like', 'never', 'crack', 'ger', '']",-0.78,1.0,,,,,
russia has successfully tested the zircon hypersonic missile from the barents sea. she hit the target at a distance… https://t.co/9onv9exkfu,russia has successfully tested the zircon hypersonic missile from the barents sea she hit the target at a distance… httpstcoonvexkfu,russia has successfully tested the zircon hypersonic missile from the barents sea. she hit the target at a distance… https://t.co/9onv9exkfu,"['russia', 'has', 'successfully', 'tested', 'the', 'zircon', 'hypersonic', 'missile', 'from', 'the', 'barents', 'sea', 'she', 'hit', 'the', 'target', 'at', 'a', 'distance', 'httpstcoonvexkfu']","['russia', 'successfully', 'tested', 'zircon', 'hypersonic', 'missile', 'barents', 'sea', 'hit', 'target', 'distance', 'httpstcoonvexkfu']","['russia', 'success', 'test', 'zircon', 'hyperson', 'missil', 'barent', 'sea', 'hit', 'target', 'distanc', 'httpstcoonvexkfu']",0.75,0.95,,,,,
compilation of attacks carried out by the russian orion uav on ukrainian positions and assets.… https://t.co/fjnb3fxqnt,compilation of attacks carried out by the russian orion uav on ukrainian positions and assets… httpstcofjnb3fxqnt,compilation of attacks carried out by the russian orion uav on ukrainian positions and assets.… https://t.co/fjnb3fxqnt,"['compilation', 'of', 'attacks', 'carried', 'out', 'by', 'the', 'russian', 'orion', 'uav', 'on', 'ukrainian', 'positions', 'and', 'assets', 'httpstcofjnb3fxqnt']","['compilation', 'attacks', 'carried', 'russian', 'orion', 'uav', 'ukrainian', 'positions', 'assets', 'httpstcofjnb3fxqnt']","['compil', 'attack', 'carri', 'russian', 'orion', 'uav', 'ukrainian', 'posit', 'asset', 'httpstcofjnb3fxqnt']",0.0,0.0,,,,,
"may 28 - the most important military events of #ukrainewar https://t.co/dd2crvqkpr

#ukrainewar #ww3… https://t.co/qpi9r795vy","may 28  the most important military events of ukrainewar httpstcodd2crvqkpr

ukrainewar ww3… httpstcoqpir75vy","may 28   the most important military events of #ukrainewar https://t.co/dd2crvqkpr

#ukrainewar #ww3… https://t.co/qpi9r795vy","['may', '28', 'the', 'most', 'important', 'military', 'events', 'of', 'ukrainewar', 'httpstcodd2crvqkpr', 'ukrainewar', 'ww3', 'httpstcoqpir75vy']","['may', '28', 'important', 'military', 'events', 'ukrainewar', 'httpstcodd2crvqkpr', 'ukrainewar', 'ww3', 'httpstcoqpir75vy']","['may', '28', 'import', 'militari', 'event', 'ukrainewar', 'httpstcodd2crvqkpr', 'ukrainewar', 'ww3', 'httpstcoqpir75vi']",0.26666666666666666,0.5333333333333333,,,,,
"""don't reveal all your cards"" - putin https://t.co/chd9yqwd1s

#ukrainewar #ww3 #russiaukrainewar

https://t.co/4dslyo9thz","dont reveal all your cards  putin httpstcochdyqwd1s

ukrainewar ww3 russiaukrainewar

httpstco4dslyothz","""don't reveal all your cards""   putin https://t.co/chd9yqwd1s

#ukrainewar #ww3 #russiaukrainewar

https://t.co/4dslyo9thz","['dont', 'reveal', 'all', 'your', 'cards', 'putin', 'httpstcochdyqwd1s', 'ukrainewar', 'ww3', 'russiaukrainewar', 'httpstco4dslyothz']","['dont', 'reveal', 'cards', 'putin', 'httpstcochdyqwd1s', 'ukrainewar', 'ww3', 'russiaukrainewar', 'httpstco4dslyothz']","['dont', 'reveal', 'card', 'putin', 'httpstcochdyqwd1', 'ukrainewar', 'ww3', 'russiaukrainewar', 'httpstco4dslyothz']",0.0,0.0,,,,,
" the conversation was focused on #russiaukrainewar and efforts to stop it. scholz and macron demanded ""an immediate cease…", the conversation was focused on russiaukrainewar and efforts to stop it scholz and macron demanded an immediate cease…," the conversation was focused on #russiaukrainewar and efforts to stop it. scholz and macron demanded ""an immediate cease…","['', 'the', 'conversation', 'was', 'focused', 'on', 'russiaukrainewar', 'and', 'efforts', 'to', 'stop', 'it', 'scholz', 'and', 'macron', 'demanded', 'an', 'immediate', 'cease', '']","['', 'conversation', 'focused', 'russiaukrainewar', 'efforts', 'stop', 'scholz', 'macron', 'demanded', 'immediate', 'cease', '']","['', 'convers', 'focus', 'russiaukrainewar', 'effort', 'stop', 'scholz', 'macron', 'demand', 'immedi', 'ceas', '']",0.0,0.0,,,,,
